actual,proposed
0.30000463128089905,0.328232079744339
0.3015044629573822,0.3294457197189331
0.30300432443618774,0.33067649602890015
0.3045041859149933,0.3318941295146942
0.30600404739379883,0.3332268297672272
0.30750390887260437,0.33453983068466187
0.3090038001537323,0.3355775475502014
0.15238399803638458,0.33442720770835876
0.15276455879211426,0.33324798941612244
0.15529286861419678,0.33208438754081726
0.15776026248931885,0.330919086933136
0.1601690798997879,0.3297640383243561
0.15519747138023376,0.32858702540397644
0.1531791090965271,0.32735633850097656
0.1467219442129135,0.3262211084365845
0.13588865101337433,0.32488733530044556
0.12945690751075745,0.3235734701156616
0.11864502727985382,0.3222942650318146
0.10351292043924332,0.32084161043167114
0.0841178223490715,0.31934139132499695
0.06923216581344604,0.31762489676475525
0.026684356853365898,0.3160843551158905
0.003488851711153984,0.312031090259552
0.0,0.3099138140678406
0.0,0.3076832592487335
0.0,0.3051985502243042
0.0,0.30255335569381714
0.0,0.2997973561286926
0.0,0.2968791425228119
0.0,0.2938022017478943
0.0,0.29060351848602295
0.0,0.28727731108665466
0.0,0.28393423557281494
0.0,0.2802940905094147
0.0,0.2766834795475006
0.0,0.27297115325927734
0.0,0.2691890001296997
0.0,0.2653547525405884
0.0,0.2614220380783081
0.0,0.25744736194610596
0.0,0.2534465789794922
0.0,0.24946549534797668
0.0,0.24534648656845093
0.0,0.241298645734787
0.0,0.23722141981124878
0.0,0.23316392302513123
0.0,0.22911833226680756
0.0,0.22508308291435242
0.0,0.2210547924041748
0.0,0.21706946194171906
0.0,0.21318866312503815
0.0,0.20943816006183624
0.0,0.20583677291870117
0.0,0.20235978066921234
0.0,0.1990000605583191
0.0,0.1957491934299469
0.0,0.19260333478450775
0.0,0.1895914077758789
0.0,0.18667738139629364
0.0,0.18388961255550385
0.0,0.18125329911708832
0.0,0.17873550951480865
0.0,0.1763918697834015
0.0,0.17421863973140717
0.0,0.1722043752670288
0.0,0.2632656991481781
0.0,0.26215553283691406
0.00997406430542469,0.26125726103782654
0.022319070994853973,0.260465532541275
0.043141577392816544,0.2599308490753174
0.05925390496850014,0.2593711316585541
0.075090691447258,0.25899577140808105
0.11894083023071289,0.2588438093662262
0.1294858455657959,0.2588115930557251
0.15294551849365234,0.25912803411483765
0.1629919409751892,0.2594154179096222
0.17725719511508942,0.2598031163215637
0.20085477828979492,0.26096799969673157
0.20590564608573914,0.26145029067993164
0.2109055519104004,0.2620994746685028
0.22021591663360596,0.26275011897087097
0.2207016497850418,0.26344719529151917
0.22556547820568085,0.26408761739730835
0.22215233743190765,0.26497313380241394
0.21835651993751526,0.26578885316848755
0.20591920614242554,0.26648208498954773
0.1858556866645813,0.26732081174850464
0.17391927540302277,0.26758477091789246
0.13753558695316315,0.26775500178337097
0.11754992604255676,0.2675168216228485
0.09782540798187256,0.2671898305416107
0.07399089634418488,0.2667774260044098
0.04609508067369461,0.2660583555698395
0.018543172627687454,0.2651873528957367
3.7017241993453354e-05,0.2641673684120178
0.0,0.2628616988658905
0.0,0.26132652163505554
0.0,0.2594880163669586
0.0,0.25745531916618347
0.0,0.2553400993347168
0.0,0.2528607249259949
0.0,0.2502146363258362
0.0,0.24738869071006775
0.0,0.24448177218437195
0.0,0.24141830205917358
0.0,0.23041459918022156
0.0,0.22659769654273987
0.0,0.2227000892162323
0.0,0.21455278992652893
0.0,0.21046696603298187
0.0,0.20648355782032013
0.0,0.20252704620361328
0.0,0.19847261905670166
0.0,0.19447576999664307
0.0,0.1831917017698288
0.0,0.17950032651424408
0.0,0.17589719593524933
0.0,0.16910189390182495
0.0,0.16586031019687653
0.0,0.25831207633018494
0.0,0.2561611235141754
0.0,0.2541274130344391
